Date,Dry,Average,Wet
1-Jan,0,3,5
2-Jan,0,3,5
3-Jan,0,3,5
4-Jan,0,3,5
5-Jan,0,3,5
6-Jan,0,3,5
7-Jan,0,3,5
8-Jan,0,3,5
9-Jan,0,3,5
10-Jan,0,3,5
11-Jan,0,3,5
12-Jan,0,3,5
13-Jan,0,3,5
14-Jan,0,3,5
15-Jan,0,3,5
16-Jan,0,3,5
17-Jan,0,3,5
18-Jan,0,3,5
19-Jan,0,3,5
20-Jan,0,3,5
21-Jan,0,3,5
22-Jan,0,3,5
23-Jan,0,3,5
24-Jan,0,3,5
25-Jan,0,3,5
26-Jan,0,3,5
27-Jan,0,3,5
28-Jan,0,3,5
29-Jan,0,3,5
30-Jan,0,3,5
31-Jan,0,3,5
1-Feb,0,3,5
2-Feb,0,3,5
3-Feb,0,3,5
4-Feb,0,3,5
5-Feb,0,3,5
6-Feb,0,3,5
7-Feb,0,3,5
8-Feb,0,3,5
9-Feb,0,3,5
10-Feb,0,3,5
11-Feb,0,3,5
12-Feb,0,3,5
13-Feb,0,3,5
14-Feb,0,3,5
15-Feb,0,3,5
16-Feb,0,3,5
17-Feb,0,3,5
18-Feb,0,3,5
19-Feb,0,3,5
20-Feb,0,3,5
21-Feb,0,3,5
22-Feb,0,3,5
23-Feb,0,3,5
24-Feb,0,3,5
25-Feb,0,3,5
26-Feb,0,3,5
27-Feb,0,3,5
28-Feb,0,3,5
1-Mar,0,3,5
2-Mar,0,3,5
3-Mar,0,3,5
4-Mar,0,3,5
5-Mar,0,3,5
6-Mar,0,3,5
7-Mar,0,3,5
8-Mar,0,3,5
9-Mar,0,3,5
10-Mar,0,3,5
11-Mar,0,3,5
12-Mar,0,3,5
13-Mar,0,3,5
14-Mar,0,3,5
15-Mar,0,3,5
16-Mar,0,3,5
17-Mar,0,3,5
18-Mar,0,3,5
19-Mar,0,3,5
20-Mar,0,3,5
21-Mar,0,3,5
22-Mar,0,3,5
23-Mar,0,3,5
24-Mar,0,3,5
25-Mar,0,3,5
26-Mar,0,3,5
27-Mar,0,3,5
28-Mar,0,3,5
29-Mar,0,3,5
30-Mar,0,3,5
31-Mar,0,3,5
1-Apr,0,3,5
2-Apr,0,3,5
3-Apr,0,3,5
4-Apr,0,3,5
5-Apr,0,3,5
6-Apr,0,3,5
7-Apr,0,3,5
8-Apr,0,3,5
9-Apr,0,3,5
10-Apr,0,3,5
11-Apr,0,3,5
12-Apr,0,3,5
13-Apr,0,3,5
14-Apr,0,3,5
15-Apr,0,3,5
16-Apr,0,3,5
17-Apr,0,3,5
18-Apr,0,3,5
19-Apr,0,3,5
20-Apr,0,3,5
21-Apr,0,3,5
22-Apr,0,3,5
23-Apr,0,3,5
24-Apr,0,3,5
25-Apr,0,3,5
26-Apr,0,3,5
27-Apr,0,3,5
28-Apr,0,3,5
29-Apr,0,3,5
30-Apr,0,3,5
1-May,0,3,5
2-May,0,3,5
3-May,0,3,5
4-May,0,3,5
5-May,0,3,5
6-May,0,3,5
7-May,0,3,5
8-May,0,3,5
9-May,0,3,5
10-May,0,3,5
11-May,0,3,5
12-May,0,3,5
13-May,0,3,5
14-May,0,3,5
15-May,0,3,5
16-May,0,3,5
17-May,0,3,5
18-May,0,3,5
19-May,0,3,5
20-May,0,3,5
21-May,0,3,5
22-May,0,3,5
23-May,0,3,5
24-May,0,3,5
25-May,0,3,5
26-May,0,3,5
27-May,0,3,5
28-May,0,3,5
29-May,0,3,5
30-May,0,3,5
31-May,0,3,5
1-Jun,0,3,5
2-Jun,0,3,5
3-Jun,0,3,5
4-Jun,0,3,5
5-Jun,0,3,5
6-Jun,0,3,5
7-Jun,0,3,5
8-Jun,0,3,5
9-Jun,0,3,5
10-Jun,0,3,5
11-Jun,0,3,5
12-Jun,0,3,5
13-Jun,0,3,5
14-Jun,0,3,5
15-Jun,0,3,5
16-Jun,0,3,5
17-Jun,0,3,5
18-Jun,0,3,5
19-Jun,0,3,5
20-Jun,0,3,5
21-Jun,0,3,5
22-Jun,0,3,5
23-Jun,0,3,5
24-Jun,0,3,5
25-Jun,0,3,5
26-Jun,0,3,5
27-Jun,0,3,5
28-Jun,0,3,5
29-Jun,0,3,5
30-Jun,0,3,5
1-Jul,0,3,5
2-Jul,0,3,5
3-Jul,0,3,5
4-Jul,0,3,5
5-Jul,0,3,5
6-Jul,0,3,5
7-Jul,0,3,5
8-Jul,0,3,5
9-Jul,0,3,5
10-Jul,0,3,5
11-Jul,0,3,5
12-Jul,0,3,5
13-Jul,0,3,5
14-Jul,0,3,5
15-Jul,0,3,5
16-Jul,0,3,5
17-Jul,0,3,5
18-Jul,0,3,5
19-Jul,0,3,5
20-Jul,0,3,5
21-Jul,0,3,5
22-Jul,0,3,5
23-Jul,0,3,5
24-Jul,0,3,5
25-Jul,0,3,5
26-Jul,0,3,5
27-Jul,0,3,5
28-Jul,0,3,5
29-Jul,0,3,5
30-Jul,0,3,5
31-Jul,0,3,5
1-Aug,0,3,5
2-Aug,0,3,5
3-Aug,0,3,5
4-Aug,0,3,5
5-Aug,0,3,5
6-Aug,0,3,5
7-Aug,0,3,5
8-Aug,0,3,5
9-Aug,0,3,5
10-Aug,0,3,5
11-Aug,0,3,5
12-Aug,0,3,5
13-Aug,0,3,5
14-Aug,0,3,5
15-Aug,0,3,5
16-Aug,0,3,5
17-Aug,0,3,5
18-Aug,0,3,5
19-Aug,0,3,5
20-Aug,0,3,5
21-Aug,0,3,5
22-Aug,0,3,5
23-Aug,0,3,5
24-Aug,0,3,5
25-Aug,0,3,5
26-Aug,0,3,5
27-Aug,0,3,5
28-Aug,0,3,5
29-Aug,0,3,5
30-Aug,0,3,5
31-Aug,0,3,5
1-Sep,0,3,5
2-Sep,0,3,5
3-Sep,0,3,5
4-Sep,0,3,5
5-Sep,0,3,5
6-Sep,0,3,5
7-Sep,0,3,5
8-Sep,0,3,5
9-Sep,0,3,5
10-Sep,0,3,5
11-Sep,0,3,5
12-Sep,0,3,5
13-Sep,0,3,5
14-Sep,0,3,5
15-Sep,0,3,5
16-Sep,0,3,5
17-Sep,0,3,5
18-Sep,0,3,5
19-Sep,0,3,5
20-Sep,0,3,5
21-Sep,0,3,5
22-Sep,0,3,5
23-Sep,0,3,5
24-Sep,0,3,5
25-Sep,0,3,5
26-Sep,0,3,5
27-Sep,0,3,5
28-Sep,0,3,5
29-Sep,0,3,5
30-Sep,0,3,5
1-Oct,0,3,5
2-Oct,0,3,5
3-Oct,0,3,5
4-Oct,0,3,5
5-Oct,0,3,5
6-Oct,0,3,5
7-Oct,0,3,5
8-Oct,0,3,5
9-Oct,0,3,5
10-Oct,0,3,5
11-Oct,0,3,5
12-Oct,0,3,5
13-Oct,0,3,5
14-Oct,0,3,5
15-Oct,0,3,5
16-Oct,0,3,5
17-Oct,0,3,5
18-Oct,0,3,5
19-Oct,0,3,5
20-Oct,0,3,5
21-Oct,0,3,5
22-Oct,0,3,5
23-Oct,0,3,5
24-Oct,0,3,5
25-Oct,0,3,5
26-Oct,0,3,5
27-Oct,0,3,5
28-Oct,0,3,5
29-Oct,0,3,5
30-Oct,0,3,5
31-Oct,0,3,5
1-Nov,0,3,5
2-Nov,0,3,5
3-Nov,0,3,5
4-Nov,0,3,5
5-Nov,0,3,5
6-Nov,0,3,5
7-Nov,0,3,5
8-Nov,0,3,5
9-Nov,0,3,5
10-Nov,0,3,5
11-Nov,0,3,5
12-Nov,0,3,5
13-Nov,0,3,5
14-Nov,0,3,5
15-Nov,0,3,5
16-Nov,0,3,5
17-Nov,0,3,5
18-Nov,0,3,5
19-Nov,0,3,5
20-Nov,0,3,5
21-Nov,0,3,5
22-Nov,0,3,5
23-Nov,0,3,5
24-Nov,0,3,5
25-Nov,0,3,5
26-Nov,0,3,5
27-Nov,0,3,5
28-Nov,0,3,5
29-Nov,0,3,5
30-Nov,0,3,5
1-Dec,0,3,5
2-Dec,0,3,5
3-Dec,0,3,5
4-Dec,0,3,5
5-Dec,0,3,5
6-Dec,0,3,5
7-Dec,0,3,5
8-Dec,0,3,5
9-Dec,0,3,5
10-Dec,0,3,5
11-Dec,0,3,5
12-Dec,0,3,5
13-Dec,0,3,5
14-Dec,0,3,5
15-Dec,0,3,5
16-Dec,0,3,5
17-Dec,0,3,5
18-Dec,0,3,5
19-Dec,0,3,5
20-Dec,0,3,5
21-Dec,0,3,5
22-Dec,0,3,5
23-Dec,0,3,5
24-Dec,0,3,5
25-Dec,0,3,5
26-Dec,0,3,5
27-Dec,0,3,5
28-Dec,0,3,5
29-Dec,0,3,5
30-Dec,0,3,5
31-Dec,0,3,5
